iso3c;region_id;country_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent
MOZ;SSF;Mozambique;60;;;15;25;;;;
MRT;SSF;Mauritania;4.8;4;4.2;59.7;7.3;20;;;
MUS;SSF;Mauritius;64;2.8;;8;13;12.4;;;
MWI;SSF;Malawi;;;;;;;;;
MYS;EAS;Malaysia;46;3;3;9;14;15;3;7;
NAM;SSF;Namibia;;;;;;;;;
NCL;EAS;New Caledonia;43.6;5.5;10;9.3;10.9;16.5;4.2;;
NER;SSF;Niger;38;;1;57;2;2;;;
NGA;SSF;Nigeria;;3.1;;11.3;8;4.8;;;
NIC;LCN;Nicaragua;;;;;;;;;
NLD;ECS;Netherlands;35;5.4;4.3;20.24;21;14;;;
NOR;ECS;Norway;15.49;4.6;6.12;13.15;26.57;2.25;;17.21;14.68
NPL;SAS;Nepal;52.39;4.36;1.9;7.12;18.21;15.14;0.9;;
NRU;EAS;Nauru;43.6;5.5;10;9.3;10.9;16.5;4.2;;
NZL;EAS;New Zealand;28;4;4.5;37;7;8;1;11;
OMN;MEA;Oman;27;6;;24;15;21;;2;5
PAK;SAS;Pakistan;30;6;4;20;13;9;2;2;14
PAN;LCN;Panama;46.4;5.8;3.8;5.7;26.3;12;;;
PER;LCN;Peru;50.43;3.05;2.64;21.7;7.44;10.52;1.25;;2.97
PHL;EAS;Philippines;52.31;2.34;4.22;21.52;8.7;10.55;0.37;;
PLW;EAS;Palau;26;5;10;9;15;32;1;;2
PNG;EAS;Papua New Guinea;31;;;42;16.6;10;;;
POL;ECS;Poland;37.27;10.07;2.17;26.69;11.27;12.13;;0.4;
PRI;LCN;Puerto Rico;13.1;2.4;10.4;23.8;19.4;10.4;;;20.5
PRT;ECS;Portugal;36.49;6.73;1.85;27.680000000000003;13.64;10.72;;0.93;1.94
PRY;LCN;Paraguay;;;;;;;;;
PSE;MEA;West Bank and Gaza;59.1;2.4;2.7;11.5;10.1;14.2;;;
PYF;EAS;French Polynesia;47;3;3;29;16;2;;;
QAT;MEA;Qatar;57;4;9;5;11;14;;;
ROU;ECS;Romania;56.26;4.89;2.5;10.68;11.34;12.33;;2;
RUS;ECS;Russian Federation;28.41;16.82;1.83;19.03;19.7;14.21;;;
RWA;SSF;Rwanda;;;;;;;;;
SAU;MEA;Saudi Arabia;45.5;4;5;2.5;27;11;;5;
SDN;SSF;Sudan;51.4;3.5;1.7;18.9;11.8;12.7;;;
SEN;SSF;Senegal;12;2;2;68;5;9;;2;
SGP;EAS;Singapore;10.51;0.93;19.12;32.3;14.86;10.58;1.96;5.5;4.26
SLB;EAS;Solomon Islands;42.8;6.65;13.15;3.7;6.45;22.35;4.9;;
SLE;SSF;Sierra Leone;;;;;;;;;
SLV;LCN;El Salvador;65;4;2;7;12;10;;;
SMR;ECS;San Marino;5.35;5.61;0.9;65.56;13.21;5.6;;1.28;2.49
SOM;SSF;Somalia;;;;;;;;;
SRB;ECS;Serbia;37.62;5.44;1.38;16.72;13.57;12.73;0.4;;12.14
SSD;SSF;South Sudan;;;;;;;;;
STP;SSF;São Tomé and Príncipe;;;;;;;;;
SUR;LCN;Suriname;57;3;3;24;;11;;;
SVK;ECS;Slovak Republic;42;19;2;1;25;11;;;
SVN;ECS;Slovenia;;;;;;;;;
SWE;ECS;Sweden;23.34;9.15;9.2;;36.4;6.58;;;15.33
SWZ;SSF;Eswatini;;;;;;;;;
SXM;LCN;Sint Maarten (Dutch part);46;7;7;12;15;13;;;
SYC;SSF;Seychelles;48.5;5.2;4.6;25.800000000000004;5.9;9.9;0.2;0.5;
SYR;MEA;Syrian Arab Republic;57;3;4;22;7;7;;;
TCA;LCN;Turks and Caicos Islands;21.8;20.5;7.6;2.4;31.5;16.3;;;
TCD;SSF;Chad;70;1;2;18;3;6;;;
TGO;SSF;Togo;38;2;4;42;4;10;;;
THA;EAS;Thailand;65.52;3.04;1.85;4.74;7.6;17.59;0.46;0.8;
